[2024-08-01 08:58:30] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-08-01 08:58:30] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-08-01 08:58:30] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-08-01 08:58:30] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-08-01 08:58:30] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-08-01 08:58:30] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-08-01 08:58:30] [class-ss-setup-task.php:33] Creating archive directory: /home/naimur/Local Sites/lms/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1722502710/
[2024-08-01 08:58:30] [class-ss-setup-task.php:72] Adding origin URL to queue: http://lms.local/
[2024-08-01 08:58:30] [class-ss-setup-task.php:145] Adding files from directory: /home/naimur/Local Sites/lms/app/public/wp-content/uploads
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/uploads/simply-static/0119b72632e4398d6a9dc895dfe576b5-debug.txt to queue as: http://lms.local/wp-content/uploads/simply-static/0119b72632e4398d6a9dc895dfe576b5-debug.txt
[2024-08-01 08:58:30] [class-ss-setup-task.php:145] Adding files from directory: /home/naimur/Local Sites/lms/app/public/wp-content
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_static.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/autoload_static.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_namespaces.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/autoload_namespaces.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_classmap.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/autoload_classmap.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/ClassLoader.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/ClassLoader.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_real.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/autoload_real.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/installed.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/installed.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/installed.json to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/installed.json
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_files.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/autoload_files.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/autoload_psr4.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/autoload_psr4.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/LICENSE to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/LICENSE
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/platform_check.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/platform_check.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/composer/InstalledVersions.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/composer/InstalledVersions.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/bootstrap80.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/bootstrap80.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/Mbstring.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/Mbstring.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/bootstrap.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/bootstrap.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/Resources/unidata/lowerCase.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/Resources/unidata/lowerCase.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/Resources/unidata/upperCase.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/Resources/unidata/upperCase.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/Resources/unidata/titleCaseRegexp.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/Resources/unidata/titleCaseRegexp.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/Resources/unidata/caseFolding.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/Resources/unidata/caseFolding.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/LICENSE to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/LICENSE
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/composer.json to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/composer.json
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/README.md to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-mbstring/README.md
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-intl-normalizer/bootstrap80.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-intl-normalizer/bootstrap80.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-intl-normalizer/bootstrap.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-intl-normalizer/bootstrap.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-intl-normalizer/Resources/stubs/Normalizer.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-intl-normalizer/Resources/stubs/Normalizer.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-intl-normalizer/Resources/unidata/compatibilityDecomposition.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-intl-normalizer/Resources/unidata/compatibilityDecomposition.php
[2024-08-01 08:58:30] [class-ss-setup-task.php:150] Adding file /home/naimur/Local Sites/lms/app/public/wp-content/plugins/simply-static/vendor/symfony/polyfill-intl-normalizer/Resources/unidata/canonicalDecomposition.php to queue as: http://lms.local/wp-content/plugins/simply-static/vendor/symfony/polyfill-intl-normalizer/Resources/unidata/canonicalDecomposition.php
